study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_title
PRJEB3366	SAMEA1573198	ERX162850	ERR188238	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188238/ERR188238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188238/ERR188238_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188238/HG00269.2.M_111216_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188238/HG00269.2.M_111216_7_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188238	HG00269
PRJEB3366	SAMEA1573190	ERX163113	ERR188239	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188239/ERR188239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188239/ERR188239_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188239/NA20520.3.M_120202_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188239/NA20520.3.M_120202_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188239	NA20520
PRJEB3366	SAMEA1573167	ERX162927	ERR188240	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188240/ERR188240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188240/ERR188240_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188240/HG00306.1.M_111124_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188240/HG00306.1.M_111124_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188240	HG00306
PRJEB3366	SAMEA1573159	ERX163072	ERR188241	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188241/ERR188241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188241/ERR188241_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188241/HG00356.2.M_111215_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188241/HG00356.2.M_111215_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188241	HG00356
PRJEB3366	SAMEA1573515	ERX162830	ERR188242	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188242/ERR188242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188242/ERR188242_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188242/HG00258.1.M_111124_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188242/HG00258.1.M_111124_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188242	HG00258
PRJEB3366	SAMEA1573357	ERX162981	ERR188243	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188243/ERR188243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188243/ERR188243_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188243/NA19098.5.M_120131_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188243/NA19098.5.M_120131_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188243	NA19098
PRJEB3366	SAMEA1573503	ERX163060	ERR188244	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188244/ERR188244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188244/ERR188244_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188244/NA12718.1.M_111124_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188244/NA12718.1.M_111124_7_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188244	NA12718
PRJEB3366	SAMEA1573429	ERX162786	ERR188245	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188245/ERR188245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188245/ERR188245_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188245/HG00128.1.M_111124_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188245/HG00128.1.M_111124_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188245	HG00128
PRJEB3366	SAMEA1573454	ERX163017	ERR188246	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188246/ERR188246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188246/ERR188246_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188246/NA11840.6.M_120119_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188246/NA11840.6.M_120119_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188246	NA11840
PRJEB3366	SAMEA1573378	ERX162829	ERR188247	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188247/ERR188247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188247/ERR188247_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188247/HG00104.1.M_111124_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188247/HG00104.1.M_111124_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188247	HG00104
